ScanID,QRType,MachineID,MachineName,TechID,TechName,ScanDateTime,LinkedWOID,Action,CellID
SC-000234,Technician QR,,,TECH-03,Mohammed Rafi,2025-01-01T22:10:00,,Open My PM List,
SC-000235,Machine QR,MC-014,Sealed Quench SQ-01,TECH-09,Sathish Kumar,2025-01-01T22:54:00,,View Last PM,CELL-04
SC-000236,Machine QR,MC-010,Gear Hobber GH-01,TECH-07,Ramesh Chandran,2025-01-02T07:59:00,,Request Spare,CELL-03
SC-000237,Technician QR,,,TECH-04,Vignesh S,2025-01-02T20:00:00,,Open My PM List,
SC-000238,Machine QR,MC-020,Assembly Stn AS-02,TECH-08,Karthik V,2025-01-03T09:33:00,,View Last PM,CELL-05
SC-000239,Technician QR,,,TECH-05,Prakash R,2025-01-03T18:19:00,,Open My PM List,
SC-000240,Machine QR,MC-026,Paint Chiller CH-02,TECH-09,Sathish Kumar,2025-01-03T22:49:00,,View Last PM,CELL-06
SC-000241,Technician QR,,,TECH-06,Deepak Nair,2025-01-04T09:49:00,,Open My PM List,
SC-000242,Technician QR,,,TECH-09,Sathish Kumar,2025-01-04T18:21:00,,Open My PM List,
SC-000243,Technician QR,,,TECH-03,Mohammed Rafi,2025-01-04T22:20:00,,Open My PM List,
SC-000244,Machine QR,MC-001,CNC Lathe TL-01,TECH-01,Arun Kumar,2025-01-05T11:59:00,WO-00006,Start PM Checklist,CELL-01
SC-000245,Technician QR,,,TECH-01,Arun Kumar,2025-01-05T15:21:00,,Open My PM List,
SC-000246,Technician QR,,,TECH-10,Naveen Raj,2025-01-05T18:03:00,,Open My PM List,
SC-000247,Technician QR,,,TECH-07,Ramesh Chandran,2025-01-07T15:23:00,,Open My PM List,
SC-000248,Technician QR,,,TECH-04,Vignesh S,2025-01-07T16:34:00,,Open My PM List,
SC-000249,Machine QR,MC-017,Quench Oil Chiller CH-01,TECH-08,Karthik V,2025-01-07T19:28:00,,Log Abnormality,CELL-04
SC-000250,Technician QR,,,TECH-07,Ramesh Chandran,2025-01-09T07:42:00,,Open My PM List,
SC-000251,Machine QR,MC-002,CNC Lathe TL-02,TECH-03,Mohammed Rafi,2025-01-09T14:16:00,WO-00007,Start PM Checklist,CELL-01
SC-000252,Machine QR,MC-027,Robot Weld Cell RW-01,TECH-08,Karthik V,2025-01-09T18:46:00,WO-00229,Start PM Checklist,CELL-07
SC-000253,Technician QR,,,TECH-02,Suresh Babu,2025-01-09T21:59:00,,Open My PM List,
SC-000254,Machine QR,MC-016,Tempering Furnace TF-01,TECH-10,Naveen Raj,2025-01-10T13:22:00,,View Last PM,CELL-04
SC-000255,Technician QR,,,TECH-09,Sathish Kumar,2025-01-10T17:13:00,,Open My PM List,
SC-000256,Technician QR,,,TECH-10,Naveen Raj,2025-01-10T21:29:00,,Open My PM List,
SC-000257,Technician QR,,,TECH-05,Prakash R,2025-01-12T09:46:00,,Open My PM List,
SC-000258,Machine QR,MC-003,CNC Lathe TL-03,TECH-09,Sathish Kumar,2025-01-12T16:53:00,,Log Abnormality,CELL-01
SC-000259,Technician QR,,,TECH-09,Sathish Kumar,2025-01-12T22:54:00,,Open My PM List,
SC-000260,Machine QR,MC-029,Positioner PZ-01,TECH-02,Suresh Babu,2025-01-13T08:03:00,,Record Spare Replaced,CELL-07
SC-000261,Machine QR,MC-021,Assembly Stn AS-03,TECH-03,Mohammed Rafi,2025-01-13T12:16:00,,View Last PM,CELL-05
SC-000262,Machine QR,MC-020,Assembly Stn AS-02,TECH-02,Suresh Babu,2025-01-14T10:29:00,,Request Spare,CELL-05
SC-000263,Machine QR,MC-028,Robot Weld Cell RW-02,TECH-04,Vignesh S,2025-01-14T15:22:00,WO-00230,Start PM Checklist,CELL-07
SC-000264,Machine QR,MC-016,Tempering Furnace TF-01,TECH-07,Ramesh Chandran,2025-01-14T17:13:00,,Log Abnormality,CELL-04
SC-000265,Machine QR,MC-025,Curing Oven CO-01,TECH-01,Arun Kumar,2025-01-15T15:03:00,,Log Abnormality,CELL-06
SC-000266,Machine QR,MC-010,Gear Hobber GH-01,TECH-01,Arun Kumar,2025-01-17T22:18:00,,View Last PM,CELL-03
SC-000267,Technician QR,,,TECH-03,Mohammed Rafi,2025-01-17T22:24:00,,Open My PM List,
SC-000268,Machine QR,MC-013,Deburring Unit DB-01,TECH-03,Mohammed Rafi,2025-01-19T22:16:00,,View Last PM,CELL-03
SC-000269,Machine QR,MC-006,CNC Lathe TL-04,TECH-07,Ramesh Chandran,2025-01-20T06:47:00,,Log Abnormality,CELL-02
SC-000270,Technician QR,,,TECH-01,Arun Kumar,2025-01-20T06:55:00,,Open My PM List,
SC-000271,Machine QR,MC-004,Bar Feeder BF-01,TECH-01,Arun Kumar,2025-01-20T12:37:00,WO-00009,Start PM Checklist,CELL-01
SC-000272,Machine QR,MC-025,Curing Oven CO-01,TECH-03,Mohammed Rafi,2025-01-20T17:16:00,,Report Breakdown,CELL-06
SC-000273,Technician QR,,,TECH-08,Karthik V,2025-01-20T18:18:00,,Open My PM List,
SC-000274,Technician QR,,,TECH-10,Naveen Raj,2025-01-21T11:41:00,,Open My PM List,
SC-000275,Technician QR,,,TECH-10,Naveen Raj,2025-01-21T19:01:00,,Open My PM List,
SC-000276,Technician QR,,,TECH-05,Prakash R,2025-01-21T19:46:00,,Open My PM List,
SC-000277,Machine QR,MC-004,Bar Feeder BF-01,TECH-09,Sathish Kumar,2025-01-22T12:48:00,,Report Breakdown,CELL-01
SC-000278,Technician QR,,,TECH-05,Prakash R,2025-01-22T14:57:00,,Open My PM List,
SC-000279,Technician QR,,,TECH-04,Vignesh S,2025-01-22T22:26:00,,Open My PM List,
SC-000280,Machine QR,MC-017,Quench Oil Chiller CH-01,TECH-04,Vignesh S,2025-01-22T22:46:00,,Request Spare,CELL-04
SC-000281,Machine QR,MC-029,Positioner PZ-01,TECH-09,Sathish Kumar,2025-01-23T07:53:00,WO-00231,Start PM Checklist,CELL-07
SC-000282,Technician QR,,,TECH-09,Sathish Kumar,2025-01-23T12:44:00,,Open My PM List,
SC-000283,Technician QR,,,TECH-04,Vignesh S,2025-01-23T12:55:00,,Open My PM List,
SC-000284,Technician QR,,,TECH-05,Prakash R,2025-01-23T16:53:00,,Open My PM List,
SC-000285,Technician QR,,,TECH-09,Sathish Kumar,2025-01-24T07:51:00,,Open My PM List,
SC-000286,Technician QR,,,TECH-07,Ramesh Chandran,2025-01-24T08:21:00,,Open My PM List,
SC-000287,Technician QR,,,TECH-01,Arun Kumar,2025-01-24T17:54:00,,Open My PM List,
SC-000288,Technician QR,,,TECH-07,Ramesh Chandran,2025-01-25T09:54:00,,Open My PM List,
SC-000289,Machine QR,MC-029,Positioner PZ-01,TECH-04,Vignesh S,2025-01-25T11:12:00,,View Last PM,CELL-07
SC-000290,Machine QR,MC-030,Weld Compressor AC-02,TECH-08,Karthik V,2025-01-26T15:57:00,WO-00232,Start PM Checklist,CELL-07
SC-000291,Technician QR,,,TECH-02,Suresh Babu,2025-01-27T08:35:00,,Open My PM List,
SC-000292,Technician QR,,,TECH-06,Deepak Nair,2025-01-27T19:26:00,,Open My PM List,
SC-000293,Technician QR,,,TECH-04,Vignesh S,2025-01-27T22:36:00,,Open My PM List,
SC-000294,Technician QR,,,TECH-06,Deepak Nair,2025-01-28T17:45:00,,Open My PM List,
SC-000295,Machine QR,MC-005,Chip Conveyor CC-01,TECH-03,Mohammed Rafi,2025-01-29T07:57:00,WO-00010,Start PM Checklist,CELL-01
SC-000296,Technician QR,,,TECH-07,Ramesh Chandran,2025-01-29T18:48:00,,Open My PM List,
SC-000297,Technician QR,,,TECH-04,Vignesh S,2025-01-30T08:28:00,,Open My PM List,
SC-000298,Machine QR,MC-020,Assembly Stn AS-02,TECH-02,Suresh Babu,2025-01-31T08:12:00,,Record Spare Replaced,CELL-05
SC-000299,Technician QR,,,TECH-05,Prakash R,2025-01-31T17:07:00,,Open My PM List,
SC-000300,Technician QR,,,TECH-08,Karthik V,2025-01-31T18:38:00,,Open My PM List,
SC-000301,Technician QR,,,TECH-09,Sathish Kumar,2025-02-01T12:51:00,,Open My PM List,
SC-000302,Machine QR,MC-003,CNC Lathe TL-03,TECH-02,Suresh Babu,2025-02-01T13:35:00,WO-00008,Start PM Checklist,CELL-01
SC-000303,Machine QR,MC-004,Bar Feeder BF-01,TECH-01,Arun Kumar,2025-02-02T15:54:00,,View Last PM,CELL-01
SC-000304,Technician QR,,,TECH-08,Karthik V,2025-02-03T12:45:00,,Open My PM List,
SC-000305,Technician QR,,,TECH-02,Suresh Babu,2025-02-03T19:41:00,,Open My PM List,
SC-000306,Technician QR,,,TECH-10,Naveen Raj,2025-02-05T12:12:00,,Open My PM List,
SC-000307,Machine QR,MC-014,Sealed Quench SQ-01,TECH-02,Suresh Babu,2025-02-05T16:00:00,WO-00125,Start PM Checklist,CELL-04
SC-000308,Machine QR,MC-009,VMC MC-02,TECH-05,Prakash R,2025-02-05T19:13:00,,Log Abnormality,CELL-02
SC-000309,Machine QR,MC-018,HT Compressor AC-01,TECH-10,Naveen Raj,2025-02-07T09:15:00,,Request Spare,CELL-04
SC-000310,Technician QR,,,TECH-04,Vignesh S,2025-02-08T13:00:00,,Open My PM List,
SC-000311,Machine QR,MC-006,CNC Lathe TL-04,TECH-01,Arun Kumar,2025-02-08T13:31:00,WO-00060,Start PM Checklist,CELL-02
SC-000312,Machine QR,MC-017,Quench Oil Chiller CH-01,TECH-03,Mohammed Rafi,2025-02-08T16:13:00,,View Last PM,CELL-04
SC-000313,Machine QR,MC-030,Weld Compressor AC-02,TECH-07,Ramesh Chandran,2025-02-10T09:12:00,,Request Spare,CELL-07
SC-000314,Machine QR,MC-019,Assembly Stn AS-01,TECH-05,Prakash R,2025-02-10T09:57:00,,View Last PM,CELL-05
SC-000315,Machine QR,MC-015,Sealed Quench SQ-02,TECH-06,Deepak Nair,2025-02-10T10:37:00,WO-00126,Start PM Checklist,CELL-04
SC-000316,Technician QR,,,TECH-09,Sathish Kumar,2025-02-10T12:26:00,,Open My PM List,
SC-000317,Technician QR,,,TECH-10,Naveen Raj,2025-02-10T16:04:00,,Open My PM List,
SC-000318,Technician QR,,,TECH-08,Karthik V,2025-02-11T18:44:00,,Open My PM List,
SC-000319,Technician QR,,,TECH-07,Ramesh Chandran,2025-02-11T19:22:00,,Open My PM List,
SC-000320,Technician QR,,,TECH-07,Ramesh Chandran,2025-02-12T10:07:00,,Open My PM List,
SC-000321,Machine QR,MC-007,CNC Lathe TL-05,TECH-03,Mohammed Rafi,2025-02-12T14:35:00,WO-00061,Start PM Checklist,CELL-02
SC-000322,Technician QR,,,TECH-08,Karthik V,2025-02-12T20:42:00,,Open My PM List,
SC-000323,Technician QR,,,TECH-03,Mohammed Rafi,2025-02-14T19:25:00,,Open My PM List,
SC-000324,Machine QR,MC-003,CNC Lathe TL-03,TECH-04,Vignesh S,2025-02-15T16:12:00,,Log Abnormality,CELL-01
SC-000325,Machine QR,MC-016,Tempering Furnace TF-01,TECH-05,Prakash R,2025-02-16T16:06:00,WO-00127,Start PM Checklist,CELL-04
SC-000326,Machine QR,MC-030,Weld Compressor AC-02,TECH-03,Mohammed Rafi,2025-02-16T18:50:00,,Request Spare,CELL-07
SC-000327,Machine QR,MC-023,Assy Conveyor CV-01,TECH-05,Prakash R,2025-02-16T21:16:00,,View Last PM,CELL-05
SC-000328,Machine QR,MC-007,CNC Lathe TL-05,TECH-05,Prakash R,2025-02-17T09:32:00,,Request Spare,CELL-02
SC-000329,Machine QR,MC-009,VMC MC-02,TECH-05,Prakash R,2025-02-18T06:49:00,,View Last PM,CELL-02
SC-000330,Machine QR,MC-004,Bar Feeder BF-01,TECH-05,Prakash R,2025-02-18T09:01:00,,Request Spare,CELL-01
SC-000331,Technician QR,,,TECH-05,Prakash R,2025-02-18T12:31:00,,Open My PM List,
SC-000332,Technician QR,,,TECH-06,Deepak Nair,2025-02-18T21:18:00,,Open My PM List,
SC-000333,Machine QR,MC-007,CNC Lathe TL-05,TECH-06,Deepak Nair,2025-02-19T08:12:00,,View Last PM,CELL-02
SC-000334,Technician QR,,,TECH-02,Suresh Babu,2025-02-19T12:38:00,,Open My PM List,
SC-000335,Technician QR,,,TECH-01,Arun Kumar,2025-02-19T14:11:00,,Open My PM List,
SC-000336,Machine QR,MC-017,Quench Oil Chiller CH-01,TECH-02,Suresh Babu,2025-02-19T15:19:00,WO-00128,Start PM Checklist,CELL-04
SC-000337,Technician QR,,,TECH-04,Vignesh S,2025-02-19T15:21:00,,Open My PM List,
SC-000338,Machine QR,MC-011,Gear Hobber GH-02,TECH-02,Suresh Babu,2025-02-20T08:13:00,,Log Abnormality,CELL-03
SC-000339,Machine QR,MC-008,VMC MC-01,TECH-02,Suresh Babu,2025-02-20T18:34:00,WO-00062,Start PM Checklist,CELL-02
SC-000340,Technician QR,,,TECH-06,Deepak Nair,2025-02-21T07:38:00,,Open My PM List,
SC-000341,Technician QR,,,TECH-03,Mohammed Rafi,2025-02-21T17:04:00,,Open My PM List,
SC-000342,Technician QR,,,TECH-10,Naveen Raj,2025-02-22T06:46:00,,Open My PM List,
SC-000343,Technician QR,,,TECH-03,Mohammed Rafi,2025-02-22T16:55:00,,Open My PM List,
SC-000344,Technician QR,,,TECH-04,Vignesh S,2025-02-23T10:06:00,,Open My PM List,
SC-000345,Technician QR,,,TECH-10,Naveen Raj,2025-02-23T13:20:00,,Open My PM List,
SC-000346,Machine QR,MC-018,HT Compressor AC-01,TECH-06,Deepak Nair,2025-02-23T14:45:00,WO-00129,Start PM Checklist,CELL-04
SC-000347,Machine QR,MC-005,Chip Conveyor CC-01,TECH-01,Arun Kumar,2025-02-23T20:43:00,,View Last PM,CELL-01
SC-000348,Technician QR,,,TECH-06,Deepak Nair,2025-02-23T21:18:00,,Open My PM List,
SC-000349,Machine QR,MC-024,Paint Booth PB-01,TECH-01,Arun Kumar,2025-02-24T07:16:00,,Request Spare,CELL-06
SC-000350,Technician QR,,,TECH-09,Sathish Kumar,2025-02-24T08:51:00,,Open My PM List,
SC-000351,Machine QR,MC-002,CNC Lathe TL-02,TECH-10,Naveen Raj,2025-02-24T09:46:00,,Log Abnormality,CELL-01
SC-000352,Technician QR,,,TECH-01,Arun Kumar,2025-02-24T09:51:00,,Open My PM List,
SC-000353,Technician QR,,,TECH-07,Ramesh Chandran,2025-02-24T10:24:00,,Open My PM List,
SC-000354,Technician QR,,,TECH-09,Sathish Kumar,2025-02-24T12:00:00,,Open My PM List,
SC-000355,Machine QR,MC-026,Paint Chiller CH-02,TECH-05,Prakash R,2025-02-24T16:37:00,,View Last PM,CELL-06
SC-000356,Machine QR,MC-003,CNC Lathe TL-03,TECH-06,Deepak Nair,2025-02-24T18:46:00,,Log Abnormality,CELL-01
SC-000357,Machine QR,MC-016,Tempering Furnace TF-01,TECH-07,Ramesh Chandran,2025-02-24T20:02:00,,View Last PM,CELL-04
SC-000358,Technician QR,,,TECH-02,Suresh Babu,2025-02-25T07:20:00,,Open My PM List,
SC-000359,Machine QR,MC-012,Gear Shaver GS-01,TECH-05,Prakash R,2025-02-25T09:28:00,,Log Abnormality,CELL-03
SC-000360,Machine QR,MC-013,Deburring Unit DB-01,TECH-05,Prakash R,2025-02-26T10:20:00,,View Last PM,CELL-03
SC-000361,Technician QR,,,TECH-03,Mohammed Rafi,2025-02-26T12:49:00,,Open My PM List,
SC-000362,Machine QR,MC-002,CNC Lathe TL-02,TECH-01,Arun Kumar,2025-02-26T22:32:00,,Request Spare,CELL-01
SC-000363,Technician QR,,,TECH-02,Suresh Babu,2025-02-27T13:54:00,,Open My PM List,
SC-000364,Technician QR,,,TECH-07,Ramesh Chandran,2025-02-28T08:22:00,,Open My PM List,
SC-000365,Technician QR,,,TECH-07,Ramesh Chandran,2025-03-01T07:42:00,,Open My PM List,
SC-000366,Technician QR,,,TECH-02,Suresh Babu,2025-03-02T11:51:00,,Open My PM List,
SC-000367,Technician QR,,,TECH-01,Arun Kumar,2025-03-02T18:15:00,,Open My PM List,
SC-000368,Machine QR,MC-005,Chip Conveyor CC-01,TECH-05,Prakash R,2025-03-06T15:44:00,,Record Spare Replaced,CELL-01
SC-000369,Technician QR,,,TECH-04,Vignesh S,2025-03-07T14:20:00,,Open My PM List,
SC-000370,Machine QR,MC-029,Positioner PZ-01,TECH-03,Mohammed Rafi,2025-03-07T14:58:00,,Log Abnormality,CELL-07
SC-000371,Technician QR,,,TECH-06,Deepak Nair,2025-03-07T22:25:00,,Open My PM List,
SC-000372,Technician QR,,,TECH-06,Deepak Nair,2025-03-08T10:36:00,,Open My PM List,
SC-000373,Machine QR,MC-024,Paint Booth PB-01,TECH-08,Karthik V,2025-03-08T21:30:00,,View Last PM,CELL-06
SC-000374,Technician QR,,,TECH-09,Sathish Kumar,2025-03-09T07:51:00,,Open My PM List,
SC-000375,Technician QR,,,TECH-10,Naveen Raj,2025-03-09T11:10:00,,Open My PM List,
SC-000376,Machine QR,MC-027,Robot Weld Cell RW-01,TECH-05,Prakash R,2025-03-09T13:14:00,,View Last PM,CELL-07
SC-000377,Technician QR,,,TECH-06,Deepak Nair,2025-03-09T18:32:00,,Open My PM List,
SC-000378,Technician QR,,,TECH-05,Prakash R,2025-03-10T09:49:00,,Open My PM List,
SC-000379,Technician QR,,,TECH-09,Sathish Kumar,2025-03-10T11:32:00,,Open My PM List,
SC-000380,Machine QR,MC-028,Robot Weld Cell RW-02,TECH-06,Deepak Nair,2025-03-11T09:59:00,,View Last PM,CELL-07
SC-000381,Machine QR,MC-021,Assembly Stn AS-03,TECH-06,Deepak Nair,2025-03-11T22:13:00,,Log Abnormality,CELL-05
SC-000382,Machine QR,MC-008,VMC MC-01,TECH-09,Sathish Kumar,2025-03-12T13:36:00,,Report Breakdown,CELL-02
SC-000383,Technician QR,,,TECH-08,Karthik V,2025-03-13T10:53:00,,Open My PM List,
SC-000384,Machine QR,MC-020,Assembly Stn AS-02,TECH-06,Deepak Nair,2025-03-13T11:01:00,,View Last PM,CELL-05
SC-000385,Machine QR,MC-003,CNC Lathe TL-03,TECH-07,Ramesh Chandran,2025-03-13T15:48:00,,View Last PM,CELL-01
SC-000386,Machine QR,MC-009,VMC MC-02,TECH-10,Naveen Raj,2025-03-14T13:06:00,,View Last PM,CELL-02
SC-000387,Machine QR,MC-011,Gear Hobber GH-02,TECH-03,Mohammed Rafi,2025-03-14T15:02:00,WO-00097,Start PM Checklist,CELL-03
SC-000388,Machine QR,MC-009,VMC MC-02,TECH-09,Sathish Kumar,2025-03-14T15:13:00,,View Last PM,CELL-02
SC-000389,Technician QR,,,TECH-09,Sathish Kumar,2025-03-14T20:20:00,,Open My PM List,
SC-000390,Technician QR,,,TECH-07,Ramesh Chandran,2025-03-14T21:55:00,,Open My PM List,
SC-000391,Technician QR,,,TECH-01,Arun Kumar,2025-03-15T12:23:00,,Open My PM List,
SC-000392,Technician QR,,,TECH-10,Naveen Raj,2025-03-15T14:10:00,,Open My PM List,
SC-000393,Technician QR,,,TECH-03,Mohammed Rafi,2025-03-15T18:40:00,,Open My PM List,
SC-000394,Machine QR,MC-006,CNC Lathe TL-04,TECH-04,Vignesh S,2025-03-16T19:10:00,,Request Spare,CELL-02
SC-000395,Machine QR,MC-001,CNC Lathe TL-01,TECH-02,Suresh Babu,2025-03-17T08:21:00,,View Last PM,CELL-01
SC-000396,Technician QR,,,TECH-02,Suresh Babu,2025-03-17T11:30:00,,Open My PM List,
SC-000397,Technician QR,,,TECH-07,Ramesh Chandran,2025-03-17T19:11:00,,Open My PM List,
SC-000398,Machine QR,MC-030,Weld Compressor AC-02,TECH-06,Deepak Nair,2025-03-18T06:28:00,,View Last PM,CELL-07
SC-000399,Machine QR,MC-012,Gear Shaver GS-01,TECH-02,Suresh Babu,2025-03-18T18:19:00,WO-00098,Start PM Checklist,CELL-03
SC-000400,Technician QR,,,TECH-08,Karthik V,2025-03-20T08:58:00,,Open My PM List,
SC-000401,Machine QR,MC-001,CNC Lathe TL-01,TECH-08,Karthik V,2025-03-21T22:45:00,,Log Abnormality,CELL-01
SC-000402,Technician QR,,,TECH-07,Ramesh Chandran,2025-03-23T12:09:00,,Open My PM List,
SC-000403,Machine QR,MC-023,Assy Conveyor CV-01,TECH-08,Karthik V,2025-03-25T17:44:00,,View Last PM,CELL-05
SC-000404,Machine QR,MC-028,Robot Weld Cell RW-02,TECH-06,Deepak Nair,2025-03-26T07:28:00,,View Last PM,CELL-07
SC-000405,Technician QR,,,TECH-03,Mohammed Rafi,2025-03-26T14:49:00,,Open My PM List,
SC-000406,Technician QR,,,TECH-06,Deepak Nair,2025-03-26T22:25:00,,Open My PM List,
SC-000407,Technician QR,,,TECH-04,Vignesh S,2025-03-27T09:26:00,,Open My PM List,
SC-000408,Technician QR,,,TECH-05,Prakash R,2025-03-27T12:56:00,,Open My PM List,
SC-000409,Technician QR,,,TECH-09,Sathish Kumar,2025-03-28T13:24:00,,Open My PM List,
SC-000410,Technician QR,,,TECH-03,Mohammed Rafi,2025-03-28T22:07:00,,Open My PM List,
SC-000411,Technician QR,,,TECH-09,Sathish Kumar,2025-03-29T08:58:00,,Open My PM List,
SC-000412,Machine QR,MC-015,Sealed Quench SQ-02,TECH-10,Naveen Raj,2025-03-31T06:14:00,,View Last PM,CELL-04
SC-000413,Technician QR,,,TECH-09,Sathish Kumar,2025-03-31T09:03:00,,Open My PM List,
SC-000414,Technician QR,,,TECH-06,Deepak Nair,2025-03-31T14:05:00,,Open My PM List,
SC-000415,Technician QR,,,TECH-09,Sathish Kumar,2025-03-31T15:40:00,,Open My PM List,
SC-000416,Machine QR,MC-012,Gear Shaver GS-01,TECH-10,Naveen Raj,2025-03-31T21:47:00,,View Last PM,CELL-03
SC-000417,Machine QR,MC-013,Deburring Unit DB-01,TECH-01,Arun Kumar,2025-04-01T10:33:00,WO-00099,Start PM Checklist,CELL-03
SC-000418,Technician QR,,,TECH-08,Karthik V,2025-04-01T17:49:00,,Open My PM List,
SC-000419,Technician QR,,,TECH-06,Deepak Nair,2025-04-01T18:14:00,,Open My PM List,
SC-000420,Machine QR,MC-026,Paint Chiller CH-02,TECH-07,Ramesh Chandran,2025-04-02T10:07:00,,Record Spare Replaced,CELL-06
SC-000421,Machine QR,MC-010,Gear Hobber GH-01,TECH-01,Arun Kumar,2025-04-02T11:21:00,WO-00096,Start PM Checklist,CELL-03
SC-000422,Technician QR,,,TECH-05,Prakash R,2025-04-03T09:15:00,,Open My PM List,
SC-000423,Machine QR,MC-001,CNC Lathe TL-01,TECH-03,Mohammed Rafi,2025-04-03T09:56:00,WO-00011,Start PM Checklist,CELL-01
SC-000424,Technician QR,,,TECH-06,Deepak Nair,2025-04-03T22:13:00,,Open My PM List,
SC-000425,Technician QR,,,TECH-05,Prakash R,2025-04-04T08:11:00,,Open My PM List,
SC-000426,Machine QR,MC-001,CNC Lathe TL-01,TECH-06,Deepak Nair,2025-04-04T16:14:00,,View Last PM,CELL-01
SC-000427,Technician QR,,,TECH-02,Suresh Babu,2025-04-04T21:20:00,,Open My PM List,
SC-000428,Technician QR,,,TECH-01,Arun Kumar,2025-04-05T07:17:00,,Open My PM List,
SC-000429,Technician QR,,,TECH-10,Naveen Raj,2025-04-05T11:34:00,,Open My PM List,
SC-000430,Machine QR,MC-001,CNC Lathe TL-01,TECH-03,Mohammed Rafi,2025-04-05T20:43:00,,View Last PM,CELL-01
SC-000431,Machine QR,MC-031,Hyd Press HP-01,TECH-09,Sathish Kumar,2025-04-06T09:25:00,,View Last PM,CELL-08
SC-000432,Technician QR,,,TECH-09,Sathish Kumar,2025-04-06T12:08:00,,Open My PM List,
SC-000433,Technician QR,,,TECH-02,Suresh Babu,2025-04-06T12:38:00,,Open My PM List,
SC-000434,Machine QR,MC-019,Assembly Stn AS-01,TECH-07,Ramesh Chandran,2025-04-06T14:56:00,WO-00190,Start PM Checklist,CELL-05
SC-000435,Technician QR,,,TECH-08,Karthik V,2025-04-06T19:04:00,,Open My PM List,
SC-000436,Technician QR,,,TECH-03,Mohammed Rafi,2025-04-07T15:08:00,,Open My PM List,
SC-000437,Technician QR,,,TECH-01,Arun Kumar,2025-04-07T18:23:00,,Open My PM List,
SC-000438,Machine QR,MC-003,CNC Lathe TL-03,TECH-04,Vignesh S,2025-04-08T06:40:00,,View Last PM,CELL-01
SC-000439,Machine QR,MC-020,Assembly Stn AS-02,TECH-07,Ramesh Chandran,2025-04-08T08:23:00,WO-00191,Start PM Checklist,CELL-05
SC-000440,Technician QR,,,TECH-04,Vignesh S,2025-04-08T12:36:00,,Open My PM List,
SC-000441,Machine QR,MC-002,CNC Lathe TL-02,TECH-02,Suresh Babu,2025-04-09T07:54:00,WO-00012,Start PM Checklist,CELL-01
SC-000442,Machine QR,MC-024,Paint Booth PB-01,TECH-09,Sathish Kumar,2025-04-09T13:20:00,WO-00220,Start PM Checklist,CELL-06
SC-000443,Technician QR,,,TECH-07,Ramesh Chandran,2025-04-09T20:18:00,,Open My PM List,
SC-000444,Machine QR,MC-015,Sealed Quench SQ-02,TECH-06,Deepak Nair,2025-04-10T07:17:00,,Report Breakdown,CELL-04
SC-000445,Machine QR,MC-021,Assembly Stn AS-03,TECH-10,Naveen Raj,2025-04-10T07:25:00,,View Last PM,CELL-05
SC-000446,Machine QR,MC-033,Press Feeder PF-01,TECH-03,Mohammed Rafi,2025-04-10T12:42:00,,Log Abnormality,CELL-08
SC-000447,Machine QR,MC-030,Weld Compressor AC-02,TECH-02,Suresh Babu,2025-04-10T17:39:00,,View Last PM,CELL-07
SC-000448,Machine QR,MC-016,Tempering Furnace TF-01,TECH-09,Sathish Kumar,2025-04-11T22:24:00,,Record Spare Replaced,CELL-04
SC-000449,Technician QR,,,TECH-01,Arun Kumar,2025-04-12T09:20:00,,Open My PM List,
SC-000450,Machine QR,MC-024,Paint Booth PB-01,TECH-07,Ramesh Chandran,2025-04-12T19:25:00,,Record Spare Replaced,CELL-06
SC-000451,Technician QR,,,TECH-05,Prakash R,2025-04-13T20:43:00,,Open My PM List,
SC-000452,Technician QR,,,TECH-08,Karthik V,2025-04-14T14:43:00,,Open My PM List,
SC-000453,Technician QR,,,TECH-02,Suresh Babu,2025-04-14T17:37:00,,Open My PM List,
SC-000454,Technician QR,,,TECH-08,Karthik V,2025-04-14T18:38:00,,Open My PM List,
SC-000455,Machine QR,MC-025,Curing Oven CO-01,TECH-09,Sathish Kumar,2025-04-15T08:16:00,WO-00221,Start PM Checklist,CELL-06
SC-000456,Machine QR,MC-003,CNC Lathe TL-03,TECH-01,Arun Kumar,2025-04-15T11:22:00,WO-00013,Start PM Checklist,CELL-01
SC-000457,Machine QR,MC-026,Paint Chiller CH-02,TECH-05,Prakash R,2025-04-15T11:41:00,,Log Abnormality,CELL-06
SC-000458,Technician QR,,,TECH-09,Sathish Kumar,2025-04-15T21:20:00,,Open My PM List,
SC-000459,Machine QR,MC-008,VMC MC-01,TECH-01,Arun Kumar,2025-04-16T10:49:00,,Log Abnormality,CELL-02
SC-000460,Machine QR,MC-021,Assembly Stn AS-03,TECH-07,Ramesh Chandran,2025-04-16T11:58:00,WO-00192,Start PM Checklist,CELL-05
SC-000461,Technician QR,,,TECH-04,Vignesh S,2025-04-16T14:38:00,,Open My PM List,
SC-000462,Technician QR,,,TECH-07,Ramesh Chandran,2025-04-17T13:17:00,,Open My PM List,
SC-000463,Machine QR,MC-031,Hyd Press HP-01,TECH-02,Suresh Babu,2025-04-19T06:03:00,,View Last PM,CELL-08
SC-000464,Machine QR,MC-001,CNC Lathe TL-01,TECH-10,Naveen Raj,2025-04-19T12:07:00,,View Last PM,CELL-01
SC-000465,Technician QR,,,TECH-09,Sathish Kumar,2025-04-20T18:19:00,,Open My PM List,
